name,college,major,paper
郭晓旺,江南大学,计算机软件及计算机应用;自动化技术;,融合知识图谱与图卷积网络的混合推荐模型
夏鸿斌,江南大学,计算机软件及计算机应用;自动化技术;互联网技术;,融合知识图谱与图卷积网络的混合推荐模型
刘渊,江南大学,计算机软件及计算机应用;,融合知识图谱与图卷积网络的混合推荐模型
徐有为,陆军工程大学,计算机软件及计算机应用;宏观经济管理与可持续发展;,知识图谱嵌入研究综述
张宏军,陆军工程大学,计算机软件及计算机应用;武器工业与军事技术;自动化技术;,知识图谱嵌入研究综述
程恺,陆军工程大学,武器工业与军事技术;计算机软件及计算机应用;自动化技术;,知识图谱嵌入研究综述
廖湘琳,陆军工程大学,高等教育;计算机软件及计算机应用;军事;,知识图谱嵌入研究综述
张紫萱,陆军工程大学,计算机软件及计算机应用;,知识图谱嵌入研究综述
李雷,陆军工程大学,计算机软件及计算机应用;,知识图谱嵌入研究综述
安波,中国社会科学院民族学与人类学研究所,图书情报与数字图书馆;中国语言文字;,文字知识图谱构建及应用
祝德刚,北京理工大学,计算机软件及计算机应用;工业通用技术及设备;电力工业;,基于专利知识图谱的产品创新概念设计方法
宫琳,北京理工大学,计算机软件及计算机应用;金属学及金属工艺;自动化技术;,基于专利知识图谱的产品创新概念设计方法
唐圣,北京理工大学,计算机软件及计算机应用;工业通用技术及设备;图书情报与数字图书馆;,基于专利知识图谱的产品创新概念设计方法
谢剑,北京理工大学,计算机软件及计算机应用;船舶工业;工业通用技术及设备;,基于专利知识图谱的产品创新概念设计方法
莫振冲,北京理工大学,计算机软件及计算机应用;电力工业;工业通用技术及设备;,基于专利知识图谱的产品创新概念设计方法
朱明仁,北京理工大学,工业通用技术及设备;计算机软件及计算机应用;图书情报与数字图书馆;,基于专利知识图谱的产品创新概念设计方法
刘恩海,河北工业大学,计算机软件及计算机应用;自动化技术;互联网技术;,基于实体活跃度及复制生成的时序知识图谱推理
楚航,河北工业大学,材料科学;计算机软件及计算机应用;,基于实体活跃度及复制生成的时序知识图谱推理
王利琴,河北工业大学,计算机软件及计算机应用;自动化技术;电信技术;,基于实体活跃度及复制生成的时序知识图谱推理
董永峰,河北工业大学,计算机软件及计算机应用;自动化技术;高等教育;,基于实体活跃度及复制生成的时序知识图谱推理
杨迪,国家电网公司,计算机软件及计算机应用;档案及博物馆;互联网技术;,一种知识图谱的电力设备缺陷检索方案设计与实现
梁懿,福建亿榕信息技术有限公司,计算机软件及计算机应用;电力工业;企业经济;,一种知识图谱的电力设备缺陷检索方案设计与实现
王秋琳,福建亿榕信息技术有限公司,电力工业;计算机软件及计算机应用;计算机硬件技术;,一种知识图谱的电力设备缺陷检索方案设计与实现
陈新梅,福建亿榕信息技术有限公司,计算机软件及计算机应用;档案及博物馆;,一种知识图谱的电力设备缺陷检索方案设计与实现
陈恩光,福建亿榕信息技术有限公司,计算机软件及计算机应用;电力工业;,一种知识图谱的电力设备缺陷检索方案设计与实现
王燕蓉,福建亿榕信息技术有限公司,计算机软件及计算机应用;,一种知识图谱的电力设备缺陷检索方案设计与实现
葛富斌,国家知识产权局,计算机软件及计算机应用;图书情报与数字图书馆;,知识图谱技术在专利语义检索领域的应用研究
沈欣,东软集团股份有限公司,图书情报与数字图书馆;,知识图谱技术在专利语义检索领域的应用研究
